sku,title,description,price,retail_price,images,category,sub_category,brand,width,height,depth,location
2264765,Russell Wright for Conant Ball Coffee Table in Coral Lacquer,Russel Wright for Conant Ball round maple table in the perfect hue of coral lacquer. Perfectly proportioned and elegantly appointed.,1800,"2,850","['https://chairish-prod.freetls.fastly.net/image/product/sized/da208699-77d4-4447-822e-d20e09607bed/russell-wright-for-conant-ball-coffee-table-in-coral-lacquer-3325', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c4602f4a-11a0-4d88-a89f-a53e10eb354b/russell-wright-for-conant-ball-coffee-table-in-coral-lacquer-4553', 'https://chairish-prod.freetls.fastly.net/image/product/sized/068dac1d-825f-4a74-b9d9-447a3ebd59a6/russell-wright-for-conant-ball-coffee-table-in-coral-lacquer-4820', 'https://chairish-prod.freetls.fastly.net/image/product/sized/da208699-77d4-4447-822e-d20e09607bed/russell-wright-for-conant-ball-coffee-table-in-coral-lacquer-3325']",Furniture,Tables,Conant Ball,34,14,34,"San Francisco, CA"
7069378,1960s Stiffel Venetian Torchiere Floor Lamps - a Pair,"Slim and regal pair of Venetian inspired torchiers. Brass hardware with hand cut screens and mica shades. A stunning, rare and unique pair of lamps made by Stiffel c. 1967. Weighted base with glorious caste detail. Whether your style is Italian, Gothic, or you want something to illuminate your Arabian Nights, these beautifully made lamps are subtle because of their slim profile, but still have a lot of presence because of the beautifully detailed surfaces. Use to frame a window, sofa or bed. Excellent for minimal, eclectic, period or traditional rooms.",3800,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/60b2a445-c888-4f37-97db-19f4449f0b86/1960s-stiffel-venetian-torchiere-floor-lamps-a-pair-0437', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1808fd0e-eb74-46fc-9eb6-6542777ea64e/1960s-stiffel-venetian-torchiere-floor-lamps-a-pair-8226', 'https://chairish-prod.freetls.fastly.net/image/product/sized/a822c655-e856-4cd7-8db0-be82a2e0265c/1960s-stiffel-venetian-torchiere-floor-lamps-a-pair-8361', 'https://chairish-prod.freetls.fastly.net/image/product/sized/39350ff4-4583-465c-bfda-a5e9808f91dd/1960s-stiffel-venetian-torchiere-floor-lamps-a-pair-4804', 'https://chairish-prod.freetls.fastly.net/image/product/sized/57a91dd7-e0e8-4007-bd73-4454a8c5d4a7/1960s-stiffel-venetian-torchiere-floor-lamps-a-pair-5409', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1809baa0-dba1-4616-a4d7-d38b282e157a/1960s-stiffel-venetian-torchiere-floor-lamps-a-pair-7932', 'https://chairish-prod.freetls.fastly.net/image/product/sized/60b2a445-c888-4f37-97db-19f4449f0b86/1960s-stiffel-venetian-torchiere-floor-lamps-a-pair-0437']",Lighting,Lamps,,8,68,8,"San Francisco, CA"
6068026,1930s Malian Chi-Wara Head Crests- a Pair,"Ethnographic work of art by Bambara people;  The Ch-wara headcrest is a symbol spring, rebirth and an excellent harvest.  A chimera representing a combination of Antelope, Aardvark and Pangolin, the Chi-Wara headcrest is a beautifully sculptural object.  From the 1920&#x27;s 30s, this pairs geometric rhythm suggest the art deco influence of early modernity.  Both headcrests are stably set into metal pedestals, one in steel and the other in solid bronze.  

Bronze Base: 46&quot; x 10.5&quot; x 4&quot;

Steel Base: 39&quot; x 12&quot; x 4&quot;",1450,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/b69045cb-c174-4a71-b75a-df82c184362b/1930s-malian-chi-wara-head-crests-a-pair-1591', 'https://chairish-prod.freetls.fastly.net/image/product/sized/abd05807-17c9-440d-8eb5-3049ce64e7db/1930s-malian-chi-wara-head-crests-a-pair-3341', 'https://chairish-prod.freetls.fastly.net/image/product/sized/3927c911-cee8-4a59-8c16-77a92743e44c/1930s-malian-chi-wara-head-crests-a-pair-7426', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c19908e7-de3e-4ee5-adc1-f3e5cfb7b4aa/1930s-malian-chi-wara-head-crests-a-pair-5608', 'https://chairish-prod.freetls.fastly.net/image/product/sized/aa2c7364-750c-4f58-90de-0daef5784341/1930s-malian-chi-wara-head-crests-a-pair-3762', 'https://chairish-prod.freetls.fastly.net/image/product/sized/b69045cb-c174-4a71-b75a-df82c184362b/1930s-malian-chi-wara-head-crests-a-pair-1591']",Decor,Room Accents & Accessories,,4,46,10,"San Francisco, CA"
2264760,Vintage Chinese Pedestal in Tones of Watery Blues and Greens,Vintage Chinese pedestal in watery gradations of blue turquoise to deep forest green. Original finish with Art Deco floral and geometric cutouts. Largerr matching pedestal also available separately.,1800,"3,700","['https://chairish-prod.freetls.fastly.net/image/product/sized/469f2848-a1b5-4872-bc48-43229632acd4/vintage-chinese-pedestal-in-tones-of-watery-blues-and-greens-1929', 'https://chairish-prod.freetls.fastly.net/image/product/sized/6f60596e-5939-475d-80e0-df8066e7ddfd/vintage-chinese-pedestal-in-tones-of-watery-blues-and-greens-1028', 'https://chairish-prod.freetls.fastly.net/image/product/sized/5a1054f7-3732-4152-b678-3e8663a00fac/vintage-chinese-pedestal-in-tones-of-watery-blues-and-greens-8881', 'https://chairish-prod.freetls.fastly.net/image/product/sized/82ca2b27-b0a2-497d-97cf-be9415f3d383/vintage-chinese-pedestal-in-tones-of-watery-blues-and-greens-5960', 'https://chairish-prod.freetls.fastly.net/image/product/sized/332a1433-4731-46fd-8742-8fdecda0d1de/vintage-chinese-pedestal-in-tones-of-watery-blues-and-greens-0087', 'https://chairish-prod.freetls.fastly.net/image/product/sized/469f2848-a1b5-4872-bc48-43229632acd4/vintage-chinese-pedestal-in-tones-of-watery-blues-and-greens-1929']",Decor,Pedestals & Columns,,15,33,15,"San Francisco, CA"
7787753,Late 19th Century Dark Academia Table Lamp,"The perfect adjustable lamp for your study, kunstkammer, laboratory or bedside.  Made from antique lab equipment, these lamps feature solid cast iron construction with an all glass base.  Easily adjustable in height, and direction.  A minimalist style perfect for for modern or historic interiors.  Pair with Dark antiques, or clean modern looks.  Features cloth cord and deco style plugs for a truly unique look. Coordinating lamp available if you need a pair.  A Maison Lobo original design.",550,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/3c5b8e1d-a7d5-4a2d-aea9-612a5a91091e/late-19th-century-dark-academia-table-lamp-7580', 'https://chairish-prod.freetls.fastly.net/image/product/sized/7ea780f9-4a31-4da6-bdc9-8a5a377dbd52/late-19th-century-dark-academia-table-lamp-7378', 'https://chairish-prod.freetls.fastly.net/image/product/sized/34d26f9d-fd71-42d3-8a7b-dcaef8e1ecbd/late-19th-century-dark-academia-table-lamp-3725', 'https://chairish-prod.freetls.fastly.net/image/product/sized/a4b8e754-97c5-4d38-afa2-ac6218844e0c/late-19th-century-dark-academia-table-lamp-1467', 'https://chairish-prod.freetls.fastly.net/image/product/sized/bd27dd62-9358-4e05-b1c9-d6655f45b015/late-19th-century-dark-academia-table-lamp-0869', 'https://chairish-prod.freetls.fastly.net/image/product/sized/0351bb01-cc33-440a-a090-48ebd001e0e9/late-19th-century-dark-academia-table-lamp-3393', 'https://chairish-prod.freetls.fastly.net/image/product/sized/3c5b8e1d-a7d5-4a2d-aea9-612a5a91091e/late-19th-century-dark-academia-table-lamp-7580']",Lighting,Lamps,,12,32,7,"San Francisco, CA"
3449868,1980s Bold Yellow Faux Bamboo Etageres,A beautiful pair of Regency or Chinoiserie etageres in a rich brilliant yellow enameled steel. Shelves are removable marbleized porcelain in rich tones of matte white with steel blue to deep charcoal veining. Each shelf board is unique due to the glazing process. Identical shelving is solid with clean welds and unique dual ring appliques that imitate bamboo. A modernist take on a classic design. Can be used as shelving in a living area or positioned bedside. Middle shelf is 29&quot; high while each shelf measures 24.25&quot; w X 12.25&quot; d. Yellow is more egg yolk than canary.,3800,"4,800","['https://chairish-prod.freetls.fastly.net/image/product/sized/81179200-699d-4447-9b72-240f4d272c10/1980s-bold-yellow-faux-bamboo-etageres-9783', 'https://chairish-prod.freetls.fastly.net/image/product/sized/6f723235-2d58-4aec-88e7-ca58e3da144b/1980s-bold-yellow-faux-bamboo-etageres-8172', 'https://chairish-prod.freetls.fastly.net/image/product/sized/b8587950-3706-4912-88ed-13cc81060005/1980s-bold-yellow-faux-bamboo-etageres-2753', 'https://chairish-prod.freetls.fastly.net/image/product/sized/2c2d9ae6-0c66-4e98-9420-6ea496a5859d/1980s-bold-yellow-faux-bamboo-etageres-8723', 'https://chairish-prod.freetls.fastly.net/image/product/sized/39adf1c1-2c28-4528-b426-67a1cc20a00b/1980s-bold-yellow-faux-bamboo-etageres-4106', 'https://chairish-prod.freetls.fastly.net/image/product/sized/81179200-699d-4447-9b72-240f4d272c10/1980s-bold-yellow-faux-bamboo-etageres-9783']",Furniture,Casegoods & Storage,,26,73,14,"San Francisco, CA"
7797394,1960s Majolica Seal Point Cat Figurine,A beautifully rendered sculpture of a mischievous pampered Siamese Cat.  Perched on a beautiful venetian pillow and adorned by a matching amulet.  Sumptuous colors and fine representation.  Classic Italian Majolica.,350,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/19c133b4-e9ff-4866-9d93-bbc76d6cee1d/1960s-majolica-seal-point-cat-figurine-2608', 'https://chairish-prod.freetls.fastly.net/image/product/sized/83f10a7f-9c9c-4b24-987e-2940bc599fda/1960s-majolica-seal-point-cat-figurine-4444', 'https://chairish-prod.freetls.fastly.net/image/product/sized/9bf97dd8-4ea4-4378-a475-e62a29afed89/1960s-majolica-seal-point-cat-figurine-8307', 'https://chairish-prod.freetls.fastly.net/image/product/sized/e1d7204d-be09-41cc-b505-f65b4b497f19/1960s-majolica-seal-point-cat-figurine-4663', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c8aceddf-1fee-4a61-a12a-20f97fcfc32a/1960s-majolica-seal-point-cat-figurine-1620', 'https://chairish-prod.freetls.fastly.net/image/product/sized/19c133b4-e9ff-4866-9d93-bbc76d6cee1d/1960s-majolica-seal-point-cat-figurine-2608']",Decor,Room Accents & Accessories,,7,12,5,"San Francisco, CA"
5506915,1950s Italian Side Chairs- a Pair,"An extremely elegant pair of modern chairs with original upholstery. Detailed legs are solid hardwood.  A perfect pair of chairs for a small dining table, boudoir or living room.   Made in Italy and imported by Maison Lobo.  A finishing detail for your Gio Ponti inspired room.  Blend seamlessly with Danish Modern and French Art Deco.",2400,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/65313711-5a40-4012-957a-7c3559d2122a/1950s-italian-side-chairs-a-pair-8417', 'https://chairish-prod.freetls.fastly.net/image/product/sized/4aa73ab2-6ed2-4855-9e33-58a380181d41/1950s-italian-side-chairs-a-pair-0205', 'https://chairish-prod.freetls.fastly.net/image/product/sized/03217453-16fe-48df-9af4-56489f71b12c/1950s-italian-side-chairs-a-pair-7838', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1dfabcd7-f1b1-412b-b990-6f4956a7759a/1950s-italian-side-chairs-a-pair-9501', 'https://chairish-prod.freetls.fastly.net/image/product/sized/65313711-5a40-4012-957a-7c3559d2122a/1950s-italian-side-chairs-a-pair-8417']",Furniture,Seating,Carlo de Carli,19,30,20,"San Francisco, CA"
3447125,Mid 20th Century Robsjohn-Gibbings Geometric Side Table,The pure geometry of T.H. Robsjohn-Gibbings. A perfect end tables by the master of mid-century design. The interplay of rectilinear lines create the perfect blend of dynamic interplay. Original bleached mahogany finish. Solid vintage condition. Perfect for refinishing in a beautiful lacquer or keep as is.,950,"2,850","['https://chairish-prod.freetls.fastly.net/image/product/sized/1639c87d-249a-442b-8986-b279fcc4a172/mid-20th-century-robsjohn-gibbings-geometric-side-table-1948', 'https://chairish-prod.freetls.fastly.net/image/product/sized/d729c849-9ffd-4aa5-835b-c2d3ac26be69/mid-20th-century-robsjohn-gibbings-geometric-side-table-3912', 'https://chairish-prod.freetls.fastly.net/image/product/sized/64488ff2-0863-4ead-8919-b01ed346525d/mid-20th-century-robsjohn-gibbings-geometric-side-table-6855', 'https://chairish-prod.freetls.fastly.net/image/product/sized/711a8ab4-73f3-42aa-9ce7-f90b0d2ea5ba/mid-20th-century-robsjohn-gibbings-geometric-side-table-3969', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1db5beb3-9ddc-400a-9f9e-2fb1c8bea239/mid-20th-century-robsjohn-gibbings-geometric-side-table-4286', 'https://chairish-prod.freetls.fastly.net/image/product/sized/bd5416e8-7f75-4346-95de-49a784f4f3ca/mid-20th-century-robsjohn-gibbings-geometric-side-table-2650', 'https://chairish-prod.freetls.fastly.net/image/product/sized/b104d162-1a1a-4f53-8b6d-daa276e9d4b6/mid-20th-century-robsjohn-gibbings-geometric-side-table-2374', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1639c87d-249a-442b-8986-b279fcc4a172/mid-20th-century-robsjohn-gibbings-geometric-side-table-1948']",Furniture,Tables,Widdicomb,30,25,18,"San Francisco, CA"
2890811,Early 20th Century Japanese Drum Table,A wonderfully carved Asian Drum Table / Stool adorned with dragon and cloud motif.  A perfect addition to any room.  Carved mahogany with a beautifully patinated finish and marble top.  Sturdy.  An exceptional example at home in just about any interior.,1250,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/3a37cf9c-8e38-440f-8741-430fb8866d6d/early-20th-century-japanese-drum-table-6369', 'https://chairish-prod.freetls.fastly.net/image/product/sized/71e33d1d-a7d5-41c3-8ae9-00bcb415ffbd/early-20th-century-japanese-drum-table-3794', 'https://chairish-prod.freetls.fastly.net/image/product/sized/44370e35-3e04-45e5-9dc1-c03eeb5a423f/early-20th-century-japanese-drum-table-0510', 'https://chairish-prod.freetls.fastly.net/image/product/sized/afe9efec-6b38-4ca7-8b8e-e1f53d40cdcb/early-20th-century-japanese-drum-table-1026', 'https://chairish-prod.freetls.fastly.net/image/product/sized/3a37cf9c-8e38-440f-8741-430fb8866d6d/early-20th-century-japanese-drum-table-6369']",Furniture,Tables,,19,19,19,"San Francisco, CA"
5942838,1950s Paolo Buffa Style Italian Upholstered Chairs - a Pair,"An iconic pair of Paolo Buffa style Chairs with original floral upholstery.  A beautiful study in geometry,   Perfect in a minimalist or maximalist setting.   Change up the upholstery for a minimal look or leave as is for a cozy maximalist look.  Great structural shape, with some wear consistent with age. Imported directly from Italy.",2850,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/baf18826-3391-49f7-aebb-27c61b30d077/1950s-paolo-buffa-style-italian-upholstered-chairs-a-pair-2667', 'https://chairish-prod.freetls.fastly.net/image/product/sized/75a54be6-8878-40e4-b5c8-e4c3df172c9f/1950s-paolo-buffa-style-italian-upholstered-chairs-a-pair-7427', 'https://chairish-prod.freetls.fastly.net/image/product/sized/2c30c851-e953-45ef-bc6c-6eee9ce20cd3/1950s-paolo-buffa-style-italian-upholstered-chairs-a-pair-3802', 'https://chairish-prod.freetls.fastly.net/image/product/sized/3025a951-4527-4178-8f72-57481e3d50bc/1950s-paolo-buffa-style-italian-upholstered-chairs-a-pair-0676', 'https://chairish-prod.freetls.fastly.net/image/product/sized/741514b9-fd1c-478d-b627-196d9fdbe124/1950s-paolo-buffa-style-italian-upholstered-chairs-a-pair-8152', 'https://chairish-prod.freetls.fastly.net/image/product/sized/84f9e68c-a64b-428d-a516-bc095c325282/1950s-paolo-buffa-style-italian-upholstered-chairs-a-pair-3840', 'https://chairish-prod.freetls.fastly.net/image/product/sized/baf18826-3391-49f7-aebb-27c61b30d077/1950s-paolo-buffa-style-italian-upholstered-chairs-a-pair-2667']",Furniture,Seating,Paolo Buffa,26,35,24,"San Francisco, CA"
6068141,1950s Robsjohn Gibbings Side Table,"The perfect geometry of Robsjohn-Gibbings in a blond finish.  A clean, round table that exemplifies pure modernist design.  Coordinating step table also available.  Ready to be refinished, lacquered or matte finished. Brass Widdicomb tag on underside and T.H. Robsjohn-Gibbings stenciling on underside.",950,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/66d5c11a-da44-416d-9e59-465fc5dd7497/1950s-robsjohn-gibbings-side-table-9165', 'https://chairish-prod.freetls.fastly.net/image/product/sized/0244219d-fae1-42ba-b961-058b60b5330d/1950s-robsjohn-gibbings-side-table-9064', 'https://chairish-prod.freetls.fastly.net/image/product/sized/9dd784f1-f6d6-488c-bd9b-b1f38528dac2/1950s-robsjohn-gibbings-side-table-4776', 'https://chairish-prod.freetls.fastly.net/image/product/sized/a5c9ba95-cbe9-4238-86ce-599a13607a02/1950s-robsjohn-gibbings-side-table-6707', 'https://chairish-prod.freetls.fastly.net/image/product/sized/66d5c11a-da44-416d-9e59-465fc5dd7497/1950s-robsjohn-gibbings-side-table-9165']",Furniture,Tables,Widdicomb,26,25,26,"San Francisco, CA"
7465203,1930s Fontana Arte Wall Sconces - a Pair,A beautiful pair of wall sconces and brass by masters of lighting Fontana Arte.  Made in Italay c. 1936.   Hand formed brass leaves delicately frame rich peacock blue Murano glass shades.  Ready to hardwire or use how they are with candles.,2800,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/36be554d-e9db-4aad-9374-66565cb29857/1930s-fontana-arte-wall-sconces-a-pair-7395', 'https://chairish-prod.freetls.fastly.net/image/product/sized/bc4a1639-9f4d-4a6e-9976-17f2ece1d296/1930s-fontana-arte-wall-sconces-a-pair-1132', 'https://chairish-prod.freetls.fastly.net/image/product/sized/5e2b3f96-0890-43db-92af-54af893f4854/1930s-fontana-arte-wall-sconces-a-pair-6190', 'https://chairish-prod.freetls.fastly.net/image/product/sized/73ab47fd-da7a-47bf-92bd-3ca928671077/1930s-fontana-arte-wall-sconces-a-pair-5750', 'https://chairish-prod.freetls.fastly.net/image/product/sized/d6679971-28fb-4c94-9dce-d5e84f99fb1f/1930s-fontana-arte-wall-sconces-a-pair-7016', 'https://chairish-prod.freetls.fastly.net/image/product/sized/bebd07d7-b054-4755-bb0c-6f6681086d9e/1930s-fontana-arte-wall-sconces-a-pair-0453', 'https://chairish-prod.freetls.fastly.net/image/product/sized/0363a3f9-b7fa-47e6-8fe8-dec6e2ce11e5/1930s-fontana-arte-wall-sconces-a-pair-6014', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1872b852-57b3-4b4b-973f-a99645f2d46d/1930s-fontana-arte-wall-sconces-a-pair-0632', 'https://chairish-prod.freetls.fastly.net/image/product/sized/36be554d-e9db-4aad-9374-66565cb29857/1930s-fontana-arte-wall-sconces-a-pair-7395']",Lighting,Sconces & Wall Lights,Fontana Arte,10,10,4,"San Francisco, CA"
6068183,1970s Brown Saltman Cocktail Table,"Masculine, geometric table by Brown Saltman.  Perfect for a groovy lodge look or a swinging bachelor pad.   Sophisticated lines, in sturdy materials.  Solid hardwood pecan with channeled leather trim.  Very solid and heavy glamorously thick glass top. Excellent condition.  Matching side table available.",1550,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/2f983840-d73d-4b10-8d58-28090490791f/1970s-brown-saltman-cocktail-table-9012', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c0450bf7-5fc2-43a6-87a7-2c07023c5385/1970s-brown-saltman-cocktail-table-3800', 'https://chairish-prod.freetls.fastly.net/image/product/sized/969495da-0982-417f-8a5a-ab8f2bf76ea1/1970s-brown-saltman-cocktail-table-1869', 'https://chairish-prod.freetls.fastly.net/image/product/sized/e43c0b61-460c-4238-8619-a813d5dbc8ca/1970s-brown-saltman-cocktail-table-6887', 'https://chairish-prod.freetls.fastly.net/image/product/sized/f0c39e7f-e19f-405f-9f70-57325af7ad2d/1970s-brown-saltman-cocktail-table-3568', 'https://chairish-prod.freetls.fastly.net/image/product/sized/907584f5-369e-45b7-b389-3a957d484d90/1970s-brown-saltman-cocktail-table-1341', 'https://chairish-prod.freetls.fastly.net/image/product/sized/2f983840-d73d-4b10-8d58-28090490791f/1970s-brown-saltman-cocktail-table-9012']",Furniture,Tables,Brown Saltman,25,14,52,"San Francisco, CA"
7040961,Late 19th Century Venetian Dragon Bowls - Set of 4,A collection of four Venetian dragon bowls in dazzling gold and green.  Hand made on the island of Murano in the venerable workrooms of Salviati.  These delicate creatures have survived the past century with wings and tongues intact.  A stunning group that can be used as decorative objects or added to your dining table for extra ooomph.  Frilled rims mounted with a unique dragon.,1250,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/76586d7f-7079-4c1a-9453-5c56bfb3038b/late-19th-century-venetian-dragon-bowls-set-of-4-8061', 'https://chairish-prod.freetls.fastly.net/image/product/sized/73d33275-4d45-49a2-9de3-eb8740a5df41/late-19th-century-venetian-dragon-bowls-set-of-4-4052', 'https://chairish-prod.freetls.fastly.net/image/product/sized/b8decf51-1e7d-4cec-a6f9-6ccaef9a917b/late-19th-century-venetian-dragon-bowls-set-of-4-9894', 'https://chairish-prod.freetls.fastly.net/image/product/sized/b3d2a8ee-14ff-4971-947e-127d6e232bae/late-19th-century-venetian-dragon-bowls-set-of-4-5624', 'https://chairish-prod.freetls.fastly.net/image/product/sized/9c7406ff-fb38-40ba-99f3-25a240bd7864/late-19th-century-venetian-dragon-bowls-set-of-4-2397', 'https://chairish-prod.freetls.fastly.net/image/product/sized/db3d1ca9-f03c-4249-82de-e442ef3731f5/late-19th-century-venetian-dragon-bowls-set-of-4-2792', 'https://chairish-prod.freetls.fastly.net/image/product/sized/37ac9f3d-e3b2-4370-84bd-ee0eea0b932c/late-19th-century-venetian-dragon-bowls-set-of-4-7384', 'https://chairish-prod.freetls.fastly.net/image/product/sized/4a44f4c2-8a18-4356-8244-9619cf2c7280/late-19th-century-venetian-dragon-bowls-set-of-4-4166', 'https://chairish-prod.freetls.fastly.net/image/product/sized/76586d7f-7079-4c1a-9453-5c56bfb3038b/late-19th-century-venetian-dragon-bowls-set-of-4-8061']",Decor,Room Accents & Accessories,Salviati,4,5,5,"San Francisco, CA"
7797304,1960s Pair of Tonala Cat Figurines,A beautiful pair of large Tonala cats with striking fantasia style painting.  Inquisitive eyes and sweet smiles are the hallmarks of these classic figures.  Made in Jalsisco and hand painted.  One is signed Solis the other is by Ken Edwards.  Both made in the 1960s.  The larger cat has some hairline cracks but is extremely stable.  The smaller cat is perfect.,450,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/753a8a57-2a59-4084-94b8-6e24f700b70b/1960s-pair-of-tonala-cat-figurines-7506', 'https://chairish-prod.freetls.fastly.net/image/product/sized/7e86f7cd-88a0-4d17-b507-865e9bc75734/1960s-pair-of-tonala-cat-figurines-5775', 'https://chairish-prod.freetls.fastly.net/image/product/sized/70cc81e8-309a-4416-8d50-9464298e0c7e/1960s-pair-of-tonala-cat-figurines-2145', 'https://chairish-prod.freetls.fastly.net/image/product/sized/1b5279ab-3ece-4ac6-a795-528309a98671/1960s-pair-of-tonala-cat-figurines-5194', 'https://chairish-prod.freetls.fastly.net/image/product/sized/aed38478-a88f-4f1a-9409-6817b8534e31/1960s-pair-of-tonala-cat-figurines-3680', 'https://chairish-prod.freetls.fastly.net/image/product/sized/47ba5f38-ce30-4e54-b1e1-e175e7964023/1960s-pair-of-tonala-cat-figurines-3092', 'https://chairish-prod.freetls.fastly.net/image/product/sized/78808008-5468-404d-bf0b-fde8f0fa501b/1960s-pair-of-tonala-cat-figurines-9912', 'https://chairish-prod.freetls.fastly.net/image/product/sized/c76c92db-a703-43af-9621-cac3f0e913e3/1960s-pair-of-tonala-cat-figurines-6214', 'https://chairish-prod.freetls.fastly.net/image/product/sized/ac8478cc-8db4-4f43-a8de-0effabf76988/1960s-pair-of-tonala-cat-figurines-7665', 'https://chairish-prod.freetls.fastly.net/image/product/sized/9ac446d4-8f3c-4a03-9f56-092e6746e268/1960s-pair-of-tonala-cat-figurines-8728', 'https://chairish-prod.freetls.fastly.net/image/product/sized/753a8a57-2a59-4084-94b8-6e24f700b70b/1960s-pair-of-tonala-cat-figurines-7506']",Decor,Room Accents & Accessories,,16,6,8,"San Francisco, CA"
7040945,Late 19th Century Double Dragon Krater by Salviati,A spectacular 19th c. Murano krater from the venerable workrooms of Salviati.  Beautiful hues of cornflower blue and gold.   Mounted with gold flecked prunts and double dragons.  Intricately crafted wings and delicate red tongues.  A glorious centerpiece for a dining or entry table.   Part of a larger collection of dragon motif glass.,2750,,"['https://chairish-prod.freetls.fastly.net/image/product/sized/d0e20eaf-4b4e-45cb-9ad6-1114c11817ef/late-19th-century-double-dragon-krater-by-salviati-8646', 'https://chairish-prod.freetls.fastly.net/image/product/sized/9a072a5e-dfcc-4989-9ded-7bfb64a31ba1/late-19th-century-double-dragon-krater-by-salviati-1433', 'https://chairish-prod.freetls.fastly.net/image/product/sized/25e2c9d2-6298-469b-a4b4-a8644f41243c/late-19th-century-double-dragon-krater-by-salviati-7388', 'https://chairish-prod.freetls.fastly.net/image/product/sized/592b3cdc-85f5-4a87-847e-f678f06a7f0e/late-19th-century-double-dragon-krater-by-salviati-6901', 'https://chairish-prod.freetls.fastly.net/image/product/sized/ae9be479-c3e7-4741-8d78-fc3a8135c495/late-19th-century-double-dragon-krater-by-salviati-0016', 'https://chairish-prod.freetls.fastly.net/image/product/sized/01eaaa23-fe5a-4397-ab0e-782f986e8062/late-19th-century-double-dragon-krater-by-salviati-0604', 'https://chairish-prod.freetls.fastly.net/image/product/sized/e9d48f2a-8f4b-4135-a032-c869aeea7f4c/late-19th-century-double-dragon-krater-by-salviati-2802', 'https://chairish-prod.freetls.fastly.net/image/product/sized/5a9e1f0f-8ce5-49cd-97fc-e0b0cd90c9d0/late-19th-century-double-dragon-krater-by-salviati-5044', 'https://chairish-prod.freetls.fastly.net/image/product/sized/d0e20eaf-4b4e-45cb-9ad6-1114c11817ef/late-19th-century-double-dragon-krater-by-salviati-8646']",Decor,Room Accents & Accessories,Salviati,8,7,8,"San Francisco, CA"
